target_id,target,sector_label,depth,duration_days,trials,recovered,completeness,confidence_low,confidence_high,median_timing_error_days,median_recovered_snr,median_snr_above_control,mean_novel_competing_events
tau-ceti,HD 10700,3,0.0005,0.04,8,8,1.0,0.6755924351161198,1.0,0.0,40.21072091674243,12.547398609137467,0.0
tau-ceti,HD 10700,3,0.0005,0.08,8,8,1.0,0.6755924351161198,1.0,0.0,55.50231185742547,27.838989549820504,0.0
tau-ceti,HD 10700,3,0.0005,0.16,8,8,1.0,0.6755924351161198,1.0,0.0,78.63778779788163,50.97446549027665,0.0
tau-ceti,HD 10700,3,0.001,0.04,8,8,1.0,0.6755924351161198,1.0,0.0,81.16392845807113,53.50060615046616,0.0
tau-ceti,HD 10700,3,0.001,0.08,8,8,1.0,0.6755924351161198,1.0,0.0,111.81628882073122,84.15296651312624,0.0
tau-ceti,HD 10700,3,0.001,0.16,8,8,1.0,0.6755924351161198,1.0,0.0,159.15630519168897,131.492982884084,0.0
tau-ceti,HD 10700,3,0.002,0.04,8,8,1.0,0.6755924351161198,1.0,0.0,163.07034354068307,135.4070212330781,0.0
tau-ceti,HD 10700,3,0.002,0.08,8,8,1.0,0.6755924351161198,1.0,0.0,225.04726308210408,197.3839407744991,0.0
tau-ceti,HD 10700,3,0.002,0.16,8,8,1.0,0.6755924351161198,1.0,0.0,319.69200796009414,292.0286856524892,0.0
hd-20794,HD 20794,3,0.0005,0.04,8,8,1.0,0.6755924351161198,1.0,0.0,42.10085583177041,25.50363405627939,0.0
hd-20794,HD 20794,3,0.0005,0.08,8,8,1.0,0.6755924351161198,1.0,0.0013889005481360073,57.53800038629751,40.9407786108065,0.0
hd-20794,HD 20794,3,0.0005,0.16,8,8,1.0,0.6755924351161198,1.0,0.0006944484699715758,82.45102718931366,65.85380541382264,0.0
hd-20794,HD 20794,3,0.001,0.04,8,8,1.0,0.6755924351161198,1.0,0.0,84.63717017826156,68.03994840277053,0.0
hd-20794,HD 20794,3,0.001,0.08,8,8,1.0,0.6755924351161198,1.0,0.0013889005481360073,115.84234569853743,99.2451239230464,0.0
hd-20794,HD 20794,3,0.001,0.16,8,8,1.0,0.6755924351161198,1.0,0.0006944484699715758,166.79679601379013,150.19957423829914,0.0
hd-20794,HD 20794,3,0.002,0.04,8,8,1.0,0.6755924351161198,1.0,0.0,170.31555603069702,153.718334255206,0.0
hd-20794,HD 20794,3,0.002,0.08,8,8,1.0,0.6755924351161198,1.0,0.0013889005481360073,233.47932139305652,216.8820996175655,0.0
hd-20794,HD 20794,3,0.002,0.16,8,8,1.0,0.6755924351161198,1.0,0.0006944484699715758,335.2379575515989,318.64073577610793,0.0
hd-69830,HD 69830,7,0.0005,0.04,8,8,1.0,0.6755924351161198,1.0,0.0,17.726349172925218,11.726675078315468,0.0
hd-69830,HD 69830,7,0.0005,0.08,8,8,1.0,0.6755924351161198,1.0,0.0,24.53993293651914,18.54025884190939,0.0
hd-69830,HD 69830,7,0.0005,0.16,8,8,1.0,0.6755924351161198,1.0,0.0,33.59617577840749,27.596501683797744,0.0
hd-69830,HD 69830,7,0.001,0.04,8,8,1.0,0.6755924351161198,1.0,0.0,35.5655740535647,29.565899958954954,0.0
hd-69830,HD 69830,7,0.001,0.08,8,8,1.0,0.6755924351161198,1.0,0.0,49.283101365468816,43.283427270859065,0.0
hd-69830,HD 69830,7,0.001,0.16,8,8,1.0,0.6755924351161198,1.0,0.0,68.83221675725844,62.832542662648684,0.0
hd-69830,HD 69830,7,0.002,0.04,8,8,1.0,0.6755924351161198,1.0,0.0,71.24402381483974,65.24434972022999,0.0
hd-69830,HD 69830,7,0.002,0.08,8,8,1.0,0.6755924351161198,1.0,0.0,98.76943822336817,92.76976412875842,0.0
hd-69830,HD 69830,7,0.002,0.16,8,8,1.0,0.6755924351161198,1.0,0.0,139.36963339733575,133.369959302726,0.0
